pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23638153|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011409|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23638615|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|12-FEB-26|023394202200640704|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638615|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|12-FEB-26|023394202200640704|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23658311|SUR-ENE|MET|05|Medellín|CW352017||ACREV|13-FEB-26|147049060000000002|U|||MET||CON|NO||D01U||1|0|46366.32|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|SI|200410||200410|1|0|12222.9|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|NO|211391||211391|1|0|6763.2|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|SI|211829||211829|1|0|43582.32|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|NO|215887||215887|1|0|1134.85|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||CON|NO||A06U||1|0|54805.84|
23648995|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|07-FEB-26|055229009000180301|U|ENEPRE||MET||CON|NO||A13U||1|0|150694.38|
23656779|SUR-ENE|MET|05|Medellín|CW352017||ACREV|14-FEB-26|056526002000850000|U|||MET||CON|NO||D01U||1|0|46366.32|
23649006|SUR-ENE|MET|266|Envigado|CW352017||ACREV|04-FEB-26|125004765400000054|R|||MET||CON|NO||D01R||1|0|64912.85|
23640572|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410241|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640572|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410241|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23640582|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410259|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640582|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410259|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23646443|SUR-ENE|MET|360|Itaguí|CW352017||ACREV|04-FEB-26|077422005002770000|U|||MET||CON|NO||D01U||1|0|46366.32|
23634207|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|03-FEB-26|051311201101650702|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23634207|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|03-FEB-26|051311201101650702|U|||MET||CON|SI||C03U|C03U|1|141043|32429.8|
23634212|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|03-FEB-26|051311201101659902|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23634212|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|03-FEB-26|051311201101659902|U|||MET||CON|SI||C03U|C03U|1|141043|32429.8|
23655217|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|055115006000150402|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23655217|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|055115006000150402|U|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
23644407|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|056516000200400102|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23644407|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|056516000200400102|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23644407|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|056516000200400102|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23637939|SUR-ENE|MET|360|Itaguí|CW352017||ALEGA|09-FEB-26|073625409000210202|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23637939|SUR-ENE|MET|360|Itaguí|CW352017||ALEGA|09-FEB-26|073625409000210202|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23637939|SUR-ENE|MET|360|Itaguí|CW352017||ALEGA|09-FEB-26|073625409000210202|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23638032|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000760109|U|||MET||SUM|NO|215887A||215887A|35|0|36190|
23638032|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000760109|U|||MET||SUM|NO|219404A||219404A|14|0|5600|
23638032|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000760109|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23635728|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|050319000000780202|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23635728|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|050319000000780202|U|||MET||CON|SI||C03U|C03U|1|141043|32429.8|
23646248|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|09-FEB-26|116005599000000302|R|||MET||SUM|NO|219404A||219404A|1|0|400|
23646248|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|09-FEB-26|116005599000000302|R|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
23658411|SUR-ENE|MET|360|Itaguí|CW352017||ACREV|12-FEB-26|078415008000940000|U|||MET||CON|NO||D01U||1|0|46366.32|
23640661|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410321|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640661|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410321|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23652080|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|06-FEB-26|055177506100330102|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23652080|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|06-FEB-26|055177506100330102|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23652080|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|06-FEB-26|055177506100330102|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23628941|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612307|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628941|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612307|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628959|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612610|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628959|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612610|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628974|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612708|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628974|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612708|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23650925|SUR-ENE|MET|05|Medellín|CW352017||ACREV|04-FEB-26|054913000100060201|U|||MET||CON|NO||D01U||1|0|46366.32|
